User_ID,Age,Gender,Occupation,Device_Type,Daily_Phone_Hours,Social_Media_Hours,Work_Productivity_Score,Sleep_Hours,Stress_Level,App_Usage_Count,Caffeine_Intake_Cups,Weekend_Screen_Time_Hours
U25,38,Female,Professional,Android,3.0,2.3,1,5.3,1,44,1,4.0
U26,53,Female,Professional,iOS,6.4,5.7,2,7.3,1,53,3,9.0
U27,23,Male,Freelancer,Android,3.1,2.8,2,6.2,1,39,2,3.8
U28,23,Female,Student,iOS,8.6,4.5,1,5.9,3,83,4,11.4
U29,23,Female,Freelancer,iOS,5.4,4.0,4,6.8,1,43,2,7.5
U30,56,Female,Student,iOS,8.1,4.0,1,5.8,1,116,2,8.8
U31,44,Female,Freelancer,Android,4.8,2.8,3,7.1,1,64,0,7.7
U32,27,Female,Student,Android,5.3,4.1,2,7.6,1,52,1,6.9
U33,47,Male,Freelancer,Android,4.1,2.9,3,6.7,1,42,1,5.9
U34,55,Female,Student,Android,5.9,4.6,1,5.1,1,80,3,6.8
U35,51,Male,Professional,iOS,5.8,3.9,2,6.1,1,46,3,7.2
U36,48,Female,Student,Android,6.6,5.1,2,6.4,1,78,3,6.6
U37,32,Male,Freelancer,iOS,3.6,2.6,4,6.9,1,37,4,6.5
U38,53,Male,Student,Android,4.5,3.8,2,6.4,1,58,4,4.5
U39,49,Male,Freelancer,iOS,3.6,1.8,5,7.5,1,37,1,3.9
U40,43,Female,Freelancer,Android,5.5,2.3,5,7.9,1,80,1,6.1
U41,23,Female,Freelancer,Android,3.8,2.3,5,7.2,1,36,3,5.7
U42,51,Male,Professional,iOS,3.7,3.3,3,6.9,1,51,1,3.7
U43,50,Female,Student,iOS,9.1,4.7,1,7.9,4,121,4,11.1
U44,36,Male,Student,Android,4.2,1.8,2,6.6,1,35,4,4.6
U45,58,Female,Professional,iOS,4.0,3.0,2,6.7,1,49,0,5.9
U46,27,Female,Professional,iOS,3.3,2.3,2,5.7,1,42,1,4.3
U47,48,Male,Student,iOS,8.8,3.6,1,5.3,4,119,4,10.2
U48,48,Female,Student,iOS,4.9,4.3,2,6.1,1,65,2,5.5
U49,46,Male,Student,Android,6.1,3.2,3,8.0,1,90,4,8.7
U50,25,Male,Student,iOS,8.8,6.0,3,7.8,1,106,2,9.6
U51,47,Female,Freelancer,Android,4.6,2.5,4,6.9,1,53,0,6.4
U52,21,Female,Student,iOS,6.3,5.7,1,6.0,1,57,3,7.2
U53,49,Female,Professional,Android,5.4,2.4,2,6.4,1,54,2,5.4
U54,40,Male,Professional,iOS,2.1,1.5,3,6.3,1,20,2,4.8
U55,44,Female,Professional,Android,3.5,3.0,2,6.5,1,30,2,4.7
U56,25,Female,Professional,Android,4.1,2.0,2,6.2,1,37,3,5.9
U57,29,Male,Freelancer,Android,8.1,6.3,1,5.3,1,105,0,8.6
U58,32,Male,Professional,iOS,5.0,2.7,3,6.3,1,54,2,5.2
U59,31,Male,Professional,Android,3.6,1.6,3,5.4,1,29,4,3.7
U60,48,Female,Student,iOS,8.8,3.7,3,7.7,1,117,0,9.7
U61,52,Male,Professional,Android,5.2,3.2,3,6.6,1,57,2,8.2
U62,54,Female,Freelancer,Android,7.2,5.6,4,7.6,1,70,4,7.5
U63,58,Male,Professional,Android,3.8,3.0,3,7.3,1,46,3,3.8
U64,30,Male,Professional,Android,4.4,2.9,2,5.8,1,60,3,6.5
U65,45,Male,Student,iOS,4.2,2.2,4,5.9,1,34,4,5.5
U66,52,Female,Student,Android,7.1,5.4,2,5.7,1,57,1,9.8
U67,27,Male,Student,iOS,7.5,6.2,2,5.5,2,108,3,7.9
U68,22,Female,Student,iOS,5.7,3.4,3,7.3,1,56,4,7.8
U69,45,Female,Student,Android,4.1,3.4,3,7.8,1,48,0,6.1
U70,47,Male,Freelancer,iOS,6.8,6.0,3,7.8,1,61,2,8.1
U71,47,Female,Student,iOS,5.3,3.5,2,6.9,1,61,1,5.4
U72,38,Male,Professional,Android,5.1,4.1,4,6.9,1,58,4,5.2
U73,50,Female,Professional,iOS,5.0,3.3,2,5.8,1,41,3,6.5
U74,47,Female,Student,Android,6.1,3.8,3,7.2,1,90,1,6.5
U75,28,Female,Professional,iOS,3.7,1.6,3,7.0,1,34,4,6.1
U76,37,Female,Freelancer,Android,6.9,5.7,1,6.6,1,87,1,9.4
U77,58,Male,Freelancer,iOS,4.7,2.4,1,5.6,1,67,4,6.2
U78,53,Female,Student,Android,8.2,6.0,3,8.0,1,95,2,11.1
U79,54,Male,Professional,Android,4.0,2.0,4,7.3,1,55,1,6.6
U80,28,Female,Freelancer,iOS,7.2,4.5,3,6.6,1,103,0,7.9
U81,40,Male,Professional,Android,2.0,1.6,2,5.6,1,19,4,4.7
U82,59,Male,Professional,iOS,3.0,1.3,4,7.1,1,40,0,3.9
U83,30,Female,Student,iOS,9.5,7.0,1,5.3,3,138,0,11.1
U84,21,Male,Freelancer,Android,6.4,4.5,1,6.0,1,73,4,8.8
U85,32,Male,Freelancer,Android,7.9,3.7,2,6.8,1,66,1,10.8
U86,49,Male,Freelancer,Android,7.8,4.9,3,6.7,1,113,2,10.6
U87,20,Female,Student,iOS,8.5,7.4,2,7.0,1,84,2,10.6
U88,37,Female,Freelancer,iOS,6.9,5.9,1,5.2,1,72,2,9.9
U89,42,Female,Student,Android,8.3,3.9,3,6.2,1,111,0,11.3
U90,24,Male,Professional,iOS,2.8,1.9,3,5.7,1,24,2,4.9
U91,19,Female,Freelancer,iOS,3.7,2.4,3,5.5,1,43,1,3.9
U92,55,Male,Professional,iOS,2.4,1.6,4,7.1,1,32,3,4.3
U93,48,Female,Student,Android,5.6,4.8,2,6.4,1,50,4,6.8
U94,42,Male,Student,iOS,6.9,3.0,4,5.1,1,68,1,8.5
U95,20,Male,Student,Android,7.9,6.6,1,7.1,2,63,4,8.5
U96,32,Male,Student,iOS,7.2,3.2,2,6.6,1,102,0,7.6
U97,46,Female,Freelancer,Android,8.0,5.4,3,7.1,1,111,0,10.0
U98,35,Male,Student,iOS,8.4,4.9,4,8.0,1,119,0,10.2
U99,42,Male,Freelancer,Android,3.5,1.8,3,5.9,1,42,2,4.7
U100,23,Female,Freelancer,Android,4.1,3.4,2,5.6,1,53,0,6.8
U101,44,Female,Student,Android,5.6,4.8,4,6.6,1,64,3,8.0
U102,30,Male,Freelancer,iOS,5.3,2.5,1,6.1,1,63,4,8.0
U103,34,Female,Student,iOS,7.2,4.4,2,5.5,1,89,0,7.6
U104,42,Male,Freelancer,Android,3.3,1.8,3,6.4,1,36,0,4.3
U105,24,Female,Student,iOS,4.1,1.9,2,5.1,1,43,0,7.1
U106,52,Female,Professional,Android,3.2,2.7,4,7.1,1,46,3,5.1
U107,39,Female,Professional,Android,3.4,2.9,2,6.1,1,39,0,5.5
U108,36,Male,Professional,iOS,4.2,3.4,2,5.3,1,57,1,5.5
U109,51,Female,Professional,iOS,4.4,3.1,3,5.1,1,54,1,5.7
U110,23,Male,Professional,Android,6.5,3.1,3,6.1,1,75,0,9.3
U111,24,Female,Freelancer,Android,5.6,3.2,1,5.8,1,72,1,6.5
U112,22,Male,Professional,Android,3.6,1.8,3,6.1,1,43,0,5.3
U113,18,Female,Student,iOS,9.4,4.7,2,5.7,1,124,0,11.8
U114,55,Male,Freelancer,Android,5.3,4.2,2,6.0,1,74,2,6.6
U115,48,Male,Professional,Android,3.5,3.1,3,5.8,1,40,4,5.0
U116,32,Female,Freelancer,Android,8.5,3.7,4,7.2,1,87,2,10.8
U117,39,Male,Professional,Android,4.7,3.6,3,6.6,1,62,3,7.0
U118,42,Female,Professional,iOS,4.1,2.2,4,6.2,1,41,0,6.7
U119,54,Female,Student,iOS,8.0,6.3,1,6.2,3,113,3,8.2
U120,51,Female,Professional,iOS,2.2,1.9,2,6.3,1,19,2,3.3
U121,19,Male,Student,Android,9.8,4.3,1,5.1,3,88,0,11.5
U122,58,Male,Student,iOS,8.5,6.0,3,7.7,1,117,2,10.0
U123,59,Female,Professional,Android,4.9,2.0,4,7.0,1,63,0,6.1
U124,51,Male,Student,Android,5.3,4.1,2,7.5,1,77,4,6.2
U125,46,Female,Professional,Android,5.8,4.9,2,5.6,1,85,1,6.5
U126,39,Male,Freelancer,Android,8.9,7.4,1,5.2,3,117,3,11.8
U127,27,Male,Professional,iOS,6.1,3.4,2,5.8,1,76,2,7.0
U128,36,Male,Freelancer,Android,5.3,3.6,5,6.6,1,46,0,6.2
U129,38,Female,Professional,iOS,2.3,1.8,5,7.4,1,31,3,5.0
U130,55,Female,Freelancer,iOS,8.6,4.2,2,5.7,2,96,0,10.1
U131,25,Female,Freelancer,iOS,6.3,4.3,2,5.3,1,71,4,6.6
U132,20,Male,Professional,iOS,4.6,3.8,2,6.6,1,45,0,5.0
U133,48,Male,Student,iOS,4.9,4.1,2,6.8,1,70,2,7.2
U134,54,Male,Student,iOS,8.2,5.2,2,6.4,2,88,3,10.1
U135,53,Female,Student,iOS,7.0,3.5,3,7.7,1,88,1,8.5
U136,22,Female,Student,Android,5.7,4.9,1,5.0,1,45,2,8.0
U137,30,Male,Professional,iOS,4.5,2.5,4,7.0,1,50,2,5.3
U138,51,Male,Freelancer,Android,7.8,6.5,3,6.0,1,115,0,9.7
U139,20,Female,Freelancer,Android,3.7,3.1,2,6.8,1,43,0,6.7
U140,40,Female,Freelancer,Android,7.9,6.7,3,7.2,1,93,0,10.8
U141,33,Female,Student,iOS,5.2,4.5,4,7.6,1,56,2,7.2
U142,56,Male,Student,iOS,4.8,2.3,3,6.9,1,70,1,7.2
U143,25,Female,Freelancer,Android,5.9,4.1,3,5.7,1,88,1,6.8
U144,29,Male,Freelancer,Android,7.0,3.6,1,6.9,2,75,4,7.5
U145,55,Female,Freelancer,Android,8.8,4.2,2,6.1,2,129,4,9.7
U146,25,Female,Professional,Android,2.7,2.2,3,7.3,1,26,0,5.0
U147,18,Male,Student,Android,4.8,2.1,5,8.0,1,49,4,7.3
U148,58,Male,Student,Android,7.1,5.2,1,5.1,1,97,1,7.9
U149,31,Female,Student,iOS,9.2,5.0,2,6.5,1,83,0,10.3
U150,40,Male,Freelancer,iOS,8.5,6.3,2,7.4,1,76,3,8.5
U151,52,Male,Student,iOS,6.9,5.9,2,6.8,1,88,2,9.7
U152,53,Male,Freelancer,Android,5.6,3.9,3,6.6,1,59,4,7.8
U153,31,Female,Freelancer,Android,5.9,3.2,4,8.0,1,81,3,6.9
U154,50,Male,Professional,iOS,5.9,3.5,2,5.2,1,47,3,8.4
U155,52,Female,Professional,iOS,5.5,4.1,2,6.6,1,65,0,7.4
U156,45,Female,Professional,iOS,6.7,5.3,1,6.6,1,99,0,9.1
U157,53,Female,Student,iOS,4.4,3.0,3,6.6,1,51,1,7.0
U158,51,Male,Professional,iOS,6.3,2.5,2,6.9,1,83,0,8.3
U159,42,Female,Freelancer,Android,3.3,1.5,4,5.5,1,31,4,5.7
U160,24,Female,Professional,iOS,3.7,3.1,1,6.1,1,30,4,6.0
U161,59,Female,Freelancer,iOS,8.9,6.3,4,7.6,1,126,1,11.7
U162,30,Male,Freelancer,Android,8.0,4.7,1,5.3,3,96,4,9.7
U163,40,Female,Professional,Android,5.7,2.6,3,6.5,1,65,3,7.9
U164,27,Male,Student,iOS,6.9,3.0,3,6.1,1,75,2,9.5
U165,39,Female,Freelancer,Android,5.0,2.4,1,5.3,1,41,1,5.9
U166,45,Female,Freelancer,Android,4.8,3.1,3,5.4,1,45,3,5.3
U167,46,Male,Freelancer,Android,7.8,4.0,1,5.1,4,89,3,10.4
U168,19,Male,Professional,iOS,5.4,2.3,3,5.0,2,56,0,8.3
U169,32,Female,Professional,Android,4.3,1.8,3,6.2,1,36,2,5.5
U170,21,Female,Student,Android,4.0,2.9,3,6.1,1,49,1,5.5
U171,34,Female,Professional,Android,5.7,3.6,3,6.9,1,50,1,5.8
U172,50,Male,Professional,Android,2.2,1.5,3,6.4,1,24,2,3.7
U173,34,Female,Student,iOS,4.2,2.2,3,7.3,1,40,3,7.1
U174,46,Female,Professional,Android,5.9,4.8,3,5.4,1,80,4,7.7
U175,23,Male,Freelancer,iOS,7.7,4.3,1,5.4,1,93,2,9.7
U176,20,Female,Student,iOS,4.7,2.7,3,5.4,1,42,3,5.0
U177,25,Female,Freelancer,Android,8.3,4.9,1,5.9,2,107,2,9.0
U178,24,Male,Freelancer,iOS,5.9,4.2,3,7.8,1,69,3,7.6
U179,53,Male,Professional,iOS,4.1,3.6,1,6.1,1,58,4,4.4
U180,50,Female,Freelancer,Android,8.5,5.1,5,7.4,1,126,3,11.2
U181,30,Female,Freelancer,Android,6.7,2.7,3,6.5,1,57,2,9.7
U182,38,Female,Student,Android,6.8,4.6,2,7.4,2,86,3,8.3
U183,49,Female,Student,Android,9.2,6.0,2,7.3,1,111,2,10.5
U184,26,Female,Freelancer,iOS,4.2,2.1,3,6.0,1,35,1,4.5
U185,18,Male,Professional,iOS,2.5,2.2,1,5.8,1,22,3,4.3
U186,46,Male,Professional,iOS,6.2,5.0,3,6.7,1,88,3,6.2
U187,57,Female,Professional,iOS,4.7,3.0,3,6.3,1,51,0,4.8
U188,53,Male,Freelancer,iOS,8.8,7.1,1,6.6,2,132,2,10.9
U189,50,Male,Freelancer,Android,6.1,5.0,1,5.7,1,63,1,7.8
U190,22,Male,Freelancer,iOS,5.6,2.6,3,6.2,1,69,3,6.6
U191,46,Female,Professional,iOS,5.5,4.4,2,5.4,1,73,4,8.1
U192,18,Male,Student,Android,7.1,4.8,2,6.2,1,60,1,7.9
U193,56,Female,Student,iOS,10.0,7.4,1,5.7,3,146,3,10.2
U194,39,Female,Student,iOS,8.4,5.7,4,6.5,1,69,0,9.3
U195,52,Male,Student,Android,5.4,4.3,3,6.8,1,72,1,5.5
U196,56,Female,Student,iOS,6.1,5.0,4,7.2,1,81,1,8.3
U197,49,Female,Professional,Android,5.9,4.2,4,7.3,1,69,0,8.7
U198,49,Male,Student,Android,5.0,4.0,3,5.8,1,63,0,5.5
U199,32,Female,Professional,Android,2.6,2.3,3,5.7,1,26,0,4.6
U200,43,Male,Freelancer,Android,5.1,3.2,1,5.4,1,59,1,5.2
U201,39,Male,Student,iOS,4.7,2.0,4,6.5,1,59,0,7.7
U202,23,Male,Student,Android,6.0,2.5,2,5.8,1,86,2,6.6
U203,25,Female,Professional,iOS,6.5,3.4,2,5.4,1,75,3,7.4
U204,30,Male,Student,Android,9.1,6.3,1,5.6,2,74,3,11.8
U205,42,Male,Professional,iOS,3.5,2.0,2,5.6,1,36,0,4.5
U206,35,Male,Freelancer,iOS,5.9,3.0,3,6.9,1,47,0,7.5
U207,33,Female,Student,iOS,4.2,2.9,2,6.9,1,50,0,5.1
U208,40,Female,Student,iOS,8.9,6.3,2,6.3,2,93,3,9.6
U209,31,Male,Freelancer,iOS,4.0,3.5,3,6.5,1,36,1,5.5
U210,51,Male,Professional,iOS,2.5,1.9,4,6.8,1,35,4,4.7
U211,49,Male,Student,Android,5.8,4.1,3,7.1,1,69,4,8.1
U212,35,Male,Student,Android,7.7,4.8,1,5.5,2,98,3,7.8
U213,25,Male,Freelancer,Android,6.6,4.0,4,5.5,1,96,1,8.9
U214,53,Male,Freelancer,Android,4.9,3.3,2,5.8,1,54,2,6.6
U215,49,Male,Student,Android,10.0,8.3,1,5.6,3,121,3,10.7
U216,25,Male,Student,iOS,5.3,4.7,2,5.4,1,73,0,6.1
U217,53,Female,Student,Android,5.6,4.6,2,5.5,1,76,2,6.0
U218,59,Male,Student,Android,5.4,3.1,1,5.4,1,67,4,7.2
U219,33,Male,Freelancer,Android,8.1,5.6,3,5.8,1,85,0,9.3
U220,36,Female,Freelancer,Android,7.6,4.7,3,6.6,2,70,3,9.0
U221,47,Female,Freelancer,iOS,8.1,5.7,1,5.8,1,76,0,10.2
U222,53,Male,Freelancer,Android,3.8,2.2,3,6.0,1,40,0,5.2
U223,19,Male,Professional,Android,4.0,1.6,3,5.9,1,36,1,5.5
U224,54,Male,Freelancer,Android,7.3,3.4,4,6.8,1,100,2,8.7
U225,26,Female,Professional,Android,2.8,1.8,3,5.9,1,27,1,2.8
U226,27,Male,Freelancer,iOS,3.1,1.7,4,6.0,1,42,2,4.0
U227,31,Female,Freelancer,iOS,6.2,4.9,3,7.6,1,62,4,6.9
U228,37,Female,Freelancer,iOS,8.8,4.4,3,5.9,1,110,1,8.8
U229,27,Male,Professional,Android,3.9,3.5,2,5.1,1,54,4,5.8
U230,49,Male,Student,Android,4.9,2.7,3,7.0,1,55,1,7.4
U231,41,Male,Student,iOS,5.6,3.5,2,5.6,1,81,3,6.1
U232,36,Male,Freelancer,Android,7.0,3.5,1,5.7,2,56,3,8.8
U233,54,Female,Professional,Android,4.3,2.5,3,7.5,1,59,1,4.7
U234,33,Female,Professional,Android,3.4,1.5,2,6.1,1,45,4,4.6
U235,37,Female,Freelancer,Android,7.6,4.3,5,7.3,1,93,1,7.6
U236,30,Female,Freelancer,Android,5.7,5.1,4,7.3,1,48,2,6.9
U237,28,Male,Student,Android,8.4,7.1,2,7.8,2,101,4,10.2
U238,19,Female,Professional,iOS,5.1,3.4,2,5.8,1,53,0,7.8
U239,50,Male,Professional,iOS,6.2,3.4,3,6.8,1,86,2,8.9
U240,31,Male,Freelancer,iOS,8.7,6.3,1,5.6,1,69,1,9.4
U241,53,Female,Student,Android,8.4,5.1,2,7.5,1,109,2,8.9
U242,55,Female,Freelancer,Android,7.4,6.5,1,5.9,2,110,4,8.7
U243,58,Male,Professional,Android,3.7,3.1,2,5.7,1,44,0,6.1
U244,25,Male,Student,Android,6.3,4.2,2,6.6,1,72,2,7.8
U245,33,Female,Professional,iOS,2.7,2.2,2,5.2,1,39,3,3.7
U246,32,Male,Professional,iOS,4.3,3.7,1,5.2,1,37,2,7.1
U247,55,Male,Freelancer,Android,5.8,2.9,3,7.9,1,74,3,7.5
U248,43,Male,Professional,iOS,3.8,2.2,4,5.9,1,53,3,5.5
U249,26,Male,Professional,Android,6.7,4.4,2,6.1,1,56,1,7.3
U250,51,Female,Professional,iOS,6.0,4.1,1,5.3,1,57,4,7.7
U251,33,Male,Freelancer,iOS,3.8,3.2,3,7.0,1,43,2,6.3
U252,25,Female,Professional,iOS,2.2,1.4,2,5.1,1,30,3,3.8
U253,35,Male,Student,Android,6.4,2.7,1,6.4,2,55,3,7.8
U254,53,Female,Professional,iOS,5.7,2.3,3,7.0,1,52,1,6.1
U255,18,Female,Professional,Android,2.4,1.5,2,5.3,1,23,3,4.6
U256,52,Female,Freelancer,Android,8.9,4.4,1,5.3,3,105,3,9.4
U257,42,Female,Freelancer,Android,5.2,4.6,3,6.5,1,55,1,7.4
U258,56,Male,Student,iOS,6.6,4.3,3,6.9,1,75,0,7.0
U259,36,Female,Student,iOS,9.1,5.6,2,6.9,1,82,1,11.6
U260,31,Male,Professional,iOS,4.0,3.3,4,6.9,1,39,2,6.0
U261,29,Male,Professional,Android,4.3,2.6,2,7.0,1,40,0,6.9
U262,42,Male,Professional,iOS,2.5,2.0,5,7.5,1,24,4,2.6
U263,49,Female,Professional,iOS,4.2,3.5,1,6.5,1,58,4,5.7
U264,42,Female,Professional,iOS,5.0,3.7,2,5.7,1,59,1,7.0
U265,45,Female,Student,iOS,8.1,3.5,2,6.2,2,88,3,9.3
U266,18,Female,Student,iOS,9.5,5.4,1,6.6,1,78,2,11.9
U267,19,Female,Student,Android,5.0,3.2,1,5.2,2,60,3,6.6
U268,23,Male,Student,Android,9.0,6.4,3,7.7,2,88,3,9.1
U269,54,Male,Freelancer,Android,8.6,6.5,2,7.4,1,96,1,9.8
U270,28,Male,Professional,iOS,4.2,2.1,3,7.2,1,56,2,4.5
U271,59,Male,Freelancer,iOS,4.9,4.3,3,6.6,1,41,2,7.5
U272,48,Female,Freelancer,iOS,8.8,5.4,2,7.3,1,71,0,11.6
U273,34,Female,Freelancer,Android,7.3,3.7,3,6.9,1,60,4,8.1
U274,56,Female,Student,iOS,5.3,4.3,3,7.7,1,68,1,6.3
U275,22,Female,Professional,iOS,5.9,2.9,1,5.8,1,86,0,7.1
U276,27,Male,Professional,iOS,3.1,1.9,2,5.1,1,38,0,5.8
U277,45,Female,Student,Android,8.2,4.9,2,7.2,1,77,1,8.6
U278,19,Male,Professional,iOS,2.3,1.5,5,5.8,1,28,0,3.0
U279,55,Female,Professional,iOS,2.0,1.5,4,6.2,1,22,4,2.2
U280,40,Male,Professional,iOS,3.8,2.1,3,6.0,1,47,0,6.1
U281,49,Female,Freelancer,iOS,5.2,3.6,2,5.1,1,76,0,8.2
U282,34,Male,Professional,iOS,3.9,2.7,3,6.0,1,53,0,4.1
U283,24,Male,Student,iOS,6.2,4.7,1,5.7,1,90,3,7.7
U284,41,Female,Freelancer,iOS,7.1,5.9,3,5.9,1,71,3,7.5
U285,47,Male,Student,Android,7.5,6.0,3,6.5,1,70,2,9.6
U286,53,Male,Freelancer,Android,8.9,4.0,1,6.3,2,100,4,10.5
U287,53,Female,Professional,Android,4.9,2.0,3,6.6,1,61,1,5.1
U288,44,Female,Professional,iOS,6.7,4.6,1,6.1,1,70,3,9.5
U289,55,Female,Freelancer,Android,5.6,2.8,4,6.4,1,60,4,7.9
U290,19,Female,Freelancer,iOS,3.6,2.9,3,6.5,1,43,1,6.0
U291,48,Male,Student,iOS,6.1,4.8,3,5.8,1,63,0,6.2
U292,46,Female,Student,iOS,6.7,2.8,1,6.2,2,78,1,9.5
U293,23,Female,Freelancer,iOS,3.4,3.0,3,6.1,1,28,3,5.2
U294,47,Female,Professional,Android,3.1,2.2,4,7.4,1,25,0,6.0
U295,58,Male,Student,Android,9.5,5.6,3,7.3,1,90,4,11.0
U296,59,Male,Professional,iOS,2.3,1.2,4,6.3,1,22,2,5.3
U297,54,Female,Freelancer,Android,8.6,6.8,1,5.6,1,84,0,10.7
U298,43,Male,Student,Android,9.5,6.3,2,7.9,2,103,4,12.2
U299,18,Female,Student,Android,5.6,3.7,5,7.7,1,56,1,8.1
U300,25,Male,Professional,Android,4.7,2.9,4,7.5,1,61,4,4.8
U301,45,Male,Freelancer,Android,4.7,2.7,4,7.8,1,49,1,5.9
U302,38,Female,Student,iOS,8.9,3.6,4,7.4,1,113,0,11.8
U303,53,Male,Professional,Android,4.9,3.8,1,6.0,1,71,2,5.5
U304,51,Male,Freelancer,iOS,5.1,3.6,3,7.7,1,43,0,7.0
U305,45,Female,Freelancer,iOS,3.3,1.4,5,7.8,1,48,1,3.5
U306,43,Female,Professional,iOS,5.4,2.3,4,7.0,1,74,4,7.9
U307,46,Female,Freelancer,Android,8.0,5.9,1,5.2,1,111,1,8.7
U308,40,Female,Freelancer,Android,7.8,4.9,4,7.8,1,90,1,8.7
U309,23,Male,Freelancer,Android,7.0,4.0,3,7.8,1,98,0,9.6
U310,35,Male,Freelancer,Android,3.6,2.2,3,6.1,1,50,1,6.5
U311,23,Female,Student,iOS,6.5,4.8,2,5.0,1,62,0,6.8
U312,42,Female,Student,Android,8.4,7.5,2,7.8,1,105,1,11.4
U313,49,Male,Student,Android,7.5,4.2,4,7.9,1,100,0,8.8
U314,56,Female,Professional,iOS,3.8,1.7,3,7.0,1,46,0,5.2
U315,27,Female,Freelancer,iOS,8.5,4.2,1,5.4,3,109,3,11.1
U316,42,Female,Professional,iOS,6.5,5.3,2,7.3,1,91,0,7.9
U317,39,Female,Professional,iOS,6.2,4.4,3,7.4,1,82,4,9.0
U318,28,Female,Freelancer,iOS,6.6,3.2,1,5.2,2,82,2,9.1
U319,48,Male,Freelancer,Android,7.4,3.0,5,7.8,1,105,1,7.9
U320,21,Male,Freelancer,Android,3.6,2.3,4,7.6,1,33,4,6.4
U321,37,Male,Student,Android,8.0,4.3,1,6.5,2,96,2,10.1
U322,30,Female,Student,iOS,5.5,4.7,3,6.8,1,79,4,6.7
U323,30,Female,Freelancer,iOS,3.1,2.7,2,5.0,1,38,2,4.6
U324,35,Female,Freelancer,Android,3.4,1.7,2,6.9,1,34,4,5.0
U325,34,Male,Student,iOS,5.4,4.2,3,7.1,1,46,4,6.7
U326,20,Female,Professional,iOS,2.0,1.6,3,6.7,1,19,1,4.8
U327,27,Male,Student,Android,7.4,3.4,3,6.2,1,67,1,7.6
U328,22,Female,Student,Android,7.6,6.8,1,5.6,2,65,3,8.6
U329,22,Female,Student,Android,8.2,6.0,1,5.2,3,114,4,10.5
U330,19,Female,Freelancer,Android,7.6,5.1,2,7.5,1,68,1,10.3
U331,26,Male,Professional,Android,4.6,3.1,2,6.8,1,40,2,5.7
U332,51,Male,Professional,iOS,3.3,2.7,3,5.9,1,49,4,4.1
U333,41,Male,Professional,iOS,4.5,2.8,2,5.8,1,47,0,5.8
U334,55,Female,Student,iOS,5.6,2.4,2,7.2,1,72,2,7.4
U335,51,Female,Professional,iOS,3.0,2.0,4,6.1,1,37,4,3.2
U336,44,Female,Freelancer,iOS,8.2,4.0,3,6.7,2,85,4,9.7
U337,39,Male,Freelancer,iOS,3.4,3.0,4,6.3,1,37,0,5.0
U338,42,Male,Freelancer,Android,7.1,3.0,1,5.2,2,67,3,8.4
U339,32,Male,Freelancer,Android,8.7,7.4,3,6.9,1,80,3,10.3
U340,59,Male,Freelancer,iOS,5.5,4.0,3,5.8,1,51,1,7.0
U341,23,Male,Professional,iOS,4.1,3.1,1,5.4,1,51,1,6.2
U342,58,Female,Student,Android,5.1,3.6,2,6.1,1,75,0,7.0
U343,24,Male,Professional,iOS,5.3,3.7,2,7.1,1,48,3,7.8
U344,28,Female,Freelancer,Android,6.3,4.9,2,5.4,1,75,4,8.4
